trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,False,"{'a': 0.9, 'e': 0.7899999999999998}",20,0,-83.2731118987771,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.9, 'e': 0.7799999999999998}",25,0,-175.03010459396327,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.9, 'e': 0.7699999999999998}",25,0,-118.16578282480027,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.9, 'e': 0.7599999999999998}",25,0,-150.2100480736559,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
25,False,"{'a': 0.9, 'e': 0.7499999999999998}",20,0,7.165391011960665,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.7399999999999998}",20,0,-48.24293427156969,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.9, 'e': 0.7299999999999998}",30,0,-67.09735654513881,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.9, 'e': 0.7199999999999998}",25,0,-62.642510049236115,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.7099999999999997}",20,11,6.728297271999931,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.6999999999999997}",20,0,-103.28720130807542,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.9, 'e': 0.6899999999999997}",20,11,-9.448674927166737,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.6799999999999997}",25,10,-38.39818184107505,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.6699999999999997}",30,0,-147.0718633830387,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
34,False,"{'a': 0.9, 'e': 0.6599999999999997}",25,0,-154.81790441286336,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
35,False,"{'a': 0.9, 'e': 0.6499999999999997}",25,0,-54.04347227886123,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.9, 'e': 0.6399999999999997}",20,0,-70.99949075665738,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
